"Gene","GENENAME","AIS_vs_Normal","MIA_vs_Normal","LUAD_vs_Normal","MIA_vs_AIS","LUAD_vs_AIS","LUAD_vs_MIA","Pattern"
"DGCR6","DiGeorge syndrome critical region gene 6",1.527818471,1.200710674,1.673565742,-0.327107797,0.145747272,0.472855069,"p3"
"DLX3","distal-less homeobox 3",1.118543942,1.743134455,2.094150428,0.624590513,0.975606486,0.351015973,"p3"
"DLX4","distal-less homeobox 4",1.107358077,1.387890435,1.310528938,0.280532358,0.203170861,-0.077361498,"p3"
"DNAH14","dynein axonemal heavy chain 14",1.079638375,1.35037653,1.93465767,0.270738156,0.855019295,0.58428114,"p3"
"DNAH8","dynein axonemal heavy chain 8",2.797497779,1.935195965,1.957300125,-0.862301814,-0.840197653,0.022104161,"p3"
"DPP4","dipeptidyl peptidase 4",2.0293816,1.619989986,2.183978613,-0.409391614,0.154597013,0.563988627,"p3"
"DYNAP","dynactin associated protein",3.158429363,3.030879313,3.561098304,-0.12755005,0.402668942,0.530218992,"p3"
"EDA2R","ectodysplasin A2 receptor",1.016998128,0.77014142,0.234307806,-0.246856709,-0.782690323,-0.535833614,"p3"
"EDN2","endothelin 2",1.576776545,1.490891537,2.126419149,-0.085885008,0.549642604,0.635527612,"p3"
"EGF","epidermal growth factor",1.891284367,1.449362056,2.280742163,-0.441922312,0.389457795,0.831380107,"p3"
"EHF","ETS homologous factor",1.472753728,1.363304991,1.476016787,-0.109448738,0.003263059,0.112711796,"p3"
"ELF3","E74 like ETS transcription factor 3",1.861891179,1.49111006,1.853040722,-0.37078112,-0.008850458,0.361930662,"p3"
"ELF5","E74 like ETS transcription factor 5",1.373245942,1.417480506,0.904283622,0.044234564,-0.46896232,-0.513196885,"p3"
"ELFN2","extracellular leucine rich repeat and fibronectin type III domain containing 2",1.000737338,1.350267942,1.598986641,0.349530604,0.598249303,0.248718699,"p3"
"EN2","engrailed homeobox 2",2.016515087,2.694925295,3.531431513,0.678410209,1.514916426,0.836506218,"p3"
"ENAM","enamelin",1.607620041,1.775949584,1.919058361,0.168329544,0.31143832,0.143108777,"p3"
"ENPP5","ectonucleotide pyrophosphatase/phosphodiesterase family member 5",1.262968269,1.106366864,1.289561962,-0.156601405,0.026593693,0.183195098,"p3"
"ENTPD3","ectonucleoside triphosphate diphosphohydrolase 3",1.492036715,1.278214595,1.438925752,-0.21382212,-0.053110963,0.160711157,"p3"
"EPN3","epsin 3",1.35029175,2.048029312,2.895101975,0.697737563,1.544810225,0.847072662,"p3"
"ETV4","ETS variant 4",1.820267259,2.12945246,3.001262225,0.309185201,1.180994966,0.871809765,"p3"
"F2RL1","F2R like trypsin receptor 1",1.045569194,1.176091359,1.552280244,0.130522165,0.50671105,0.376188885,"p3"
"FA2H","fatty acid 2-hydroxylase",1.850671269,1.171145649,1.724293577,-0.67952562,-0.126377692,0.553147927,"p3"
"FAAH2","fatty acid amide hydrolase 2",1.283887084,0.947626939,1.076262518,-0.336260145,-0.207624566,0.128635579,"p3"
"FAM169A","family with sequence similarity 169 member A",1.198054542,0.809359253,0.76645469,-0.388695289,-0.431599852,-0.042904563,"p3"
"FAM20A","FAM20A golgi associated secretory pathway pseudokinase",1.290837275,0.834429383,0.475144364,-0.456407892,-0.815692912,-0.359285019,"p3"
"FAM3B","family with sequence similarity 3 member B",1.418349067,1.588651954,1.707360359,0.170302887,0.289011291,0.118708404,"p3"
"FAM83B","family with sequence similarity 83 member B",1.169925001,2.053318473,2.978530185,0.883393471,1.808605183,0.925211712,"p3"
"FAXC","failed axon connections homolog, metaxin like GST domain containing",1.526764547,1.340551695,1.792676625,-0.186212852,0.265912078,0.45212493,"p3"
"FBXO16","F-box protein 16",1.045451698,1.168770851,1.073838085,0.123319153,0.028386387,-0.094932766,"p3"
"FCRL2","Fc receptor like 2",1.267619025,1.401915137,1.864518351,0.134296112,0.596899326,0.462603213,"p3"
"FCRL4","Fc receptor like 4",3.092614307,3.81344789,4.190592986,0.720833583,1.097978679,0.377145096,"p3"
"FCRL5","Fc receptor like 5",1.665473487,1.342727025,2.032866379,-0.322746461,0.367392892,0.690139354,"p3"
"FERMT1","fermitin family member 1",1.153055949,1.165612121,1.604078162,0.012556172,0.451022213,0.438466041,"p3"
"FGFR3","fibroblast growth factor receptor 3",1.065340445,1.148572957,0.642299632,0.083232512,-0.423040813,-0.506273325,"p3"
"FOLR1","folate receptor 1",1.160105657,0.949565801,0.296374005,-0.210539856,-0.863731652,-0.653191796,"p3"
"FOXA1","forkhead box A1",1.094279522,0.750199284,1.444074154,-0.344080238,0.349794632,0.69387487,"p3"
"FOXA3","forkhead box A3",2.819260818,3.07011537,3.111230043,0.250854553,0.291969225,0.041114673,"p3"
"FOXP3","forkhead box P3",1.046299198,1.088363258,1.710467253,0.04206406,0.664168055,0.622103995,"p3"
"FRMD5","FERM domain containing 5",1.489502473,1.302282582,2.269494091,-0.18721989,0.779991619,0.967211509,"p3"
"FUT3","fucosyltransferase 3 (Lewis blood group)",1.325713265,1.41033031,1.985780883,0.084617045,0.660067618,0.575450573,"p3"
"GABBR2","gamma-aminobutyric acid type B receptor subunit 2",2.895258654,2.308313067,2.158013766,-0.586945587,-0.737244889,-0.150299302,"p3"
"GALNT10","polypeptide N-acetylgalactosaminyltransferase 10",1.214973684,1.344946198,1.380638913,0.129972514,0.165665229,0.035692715,"p3"
"GALNT3","polypeptide N-acetylgalactosaminyltransferase 3",1.1449598,0.963969975,1.352947836,-0.180989825,0.207988036,0.388977861,"p3"
"GCAT","glycine C-acetyltransferase",1.146111913,1.012698532,1.196977016,-0.133413381,0.050865103,0.184278485,"p3"
"GDF15","growth differentiation factor 15",3.457130446,3.217449217,2.508619965,-0.23968123,-0.948510482,-0.708829252,"p3"
"GDNF","glial cell derived neurotrophic factor",1.480115577,1.648963409,2.394881219,0.168847832,0.914765642,0.74591781,"p3"
"GGCT","gamma-glutamylcyclotransferase",1.131983384,0.997011886,1.505322768,-0.134971498,0.373339384,0.508310881,"p3"
"GGT1","gamma-glutamyltransferase 1",1.00476285,0.620808732,-0.016707317,-0.383954118,-1.021470167,-0.637516049,"p3"
"GGT2","gamma-glutamyltransferase 2",1.584413007,1.587985845,0.98014266,0.003572838,-0.604270348,-0.607843186,"p3"
"GGT5","gamma-glutamyltransferase 5",1.466685207,1.624426798,0.930360782,0.157741591,-0.536324425,-0.694066016,"p3"
"GGT6","gamma-glutamyltransferase 6",1.288237625,1.229687184,0.972804216,-0.058550441,-0.315433409,-0.256882968,"p3"
"GGTLC1","gamma-glutamyltransferase light chain 1",1.41797486,0.934281407,0.286934282,-0.483693453,-1.131040578,-0.647347125,"p3"
"GJB1","gap junction protein beta 1",2.496718369,2.584879803,3.014836265,0.088161435,0.518117896,0.429956462,"p3"
"GLB1L2","galactosidase beta 1 like 2",1.134383889,1.52189187,2.213707396,0.387507981,1.079323507,0.691815526,"p3"
"GLOD5","glyoxalase domain containing 5",1.287429169,0.658297985,0.481889676,-0.629131183,-0.805539492,-0.176408309,"p3"
"GLS2","glutaminase 2",1.165304642,0.954509141,0.897046852,-0.210795501,-0.26825779,-0.057462289,"p3"
"GOLGA7B","golgin A7 family member B",1.20068759,0.812920083,1.237925098,-0.387767507,0.037237508,0.425005015,"p3"
"GOLM1","golgi membrane protein 1",1.056845022,1.430751095,2.173589785,0.373906073,1.116744764,0.742838691,"p3"
"GOLT1A","golgi transport 1A",1.488973492,1.32293949,1.176611177,-0.166034002,-0.312362315,-0.146328313,"p3"
"GPC4","glypican 4",1.350786998,1.108379858,1.026083686,-0.24240714,-0.324703313,-0.082296173,"p3"
"GPLD1","glycosylphosphatidylinositol specific phospholipase D1",1.017319153,0.933642535,0.404668908,-0.083676618,-0.612650245,-0.528973627,"p3"
"GPR160","G protein-coupled receptor 160",1.320087301,1.558408287,1.880956589,0.238320987,0.560869288,0.322548302,"p3"
"GPR39","G protein-coupled receptor 39",1.227030662,0.864757252,0.959178576,-0.36227341,-0.267852086,0.094421324,"p3"
"GPRC5C","G protein-coupled receptor class C group 5 member C",1.136656311,1.028728059,0.882501516,-0.107928252,-0.254154795,-0.146226543,"p3"
"GPT2","glutamic--pyruvic transaminase 2",1.487743225,1.292711289,1.997557776,-0.195031936,0.509814551,0.704846487,"p3"
"GRB14","growth factor receptor bound protein 14",1.73527562,1.458445285,1.801189487,-0.276830335,0.065913868,0.342744202,"p3"
"GRHL1","grainyhead like transcription factor 1",1.246286692,1.615348552,1.809101844,0.36906186,0.562815152,0.193753292,"p3"
"GSTA1","glutathione S-transferase alpha 1",2.719244312,2.14618535,1.807147522,-0.573058962,-0.912096789,-0.339037827,"p3"
"GTSF1L","gametocyte specific factor 1 like",1.766599254,2.331749647,2.780754393,0.565150393,1.014155138,0.449004746,"p3"
"GYG2","glycogenin 2",1.57201598,1.928393066,2.087082515,0.356377086,0.515066535,0.158689449,"p3"
"HABP2","hyaluronan binding protein 2",6.354112614,6.059393807,5.863135235,-0.294718807,-0.490977379,-0.196258572,"p3"
"HCAR1","hydroxycarboxylic acid receptor 1",1.485046974,1.856524559,1.378060241,0.371477585,-0.106986733,-0.478464318,"p3"
"HELB","DNA helicase B",1.004779048,0.536731026,0.575512645,-0.468048022,-0.429266403,0.038781619,"p3"
"HGD","homogentisate 1,2-dioxygenase",1.869940161,1.7266513,2.487123195,-0.143288861,0.617183034,0.760471895,"p3"
"HK2","hexokinase 2",1.003643324,0.485893724,0.006460782,-0.5177496,-0.997182542,-0.479432942,"p3"
"HKDC1","hexokinase domain containing 1",2.072319029,1.938443981,2.083917578,-0.133875048,0.011598549,0.145473598,"p3"
"HLA-DOB","major histocompatibility complex, class II, DO beta",1.705573389,1.323839594,1.405846614,-0.381733794,-0.299726775,0.08200702,"p3"
"HLA-DQB2","major histocompatibility complex, class II, DQ beta 2",1.840448416,1.536076211,1.858065986,-0.304372205,0.01761757,0.321989775,"p3"
"HOMER2","homer scaffold protein 2",1.086898203,1.054010875,0.710784058,-0.032887328,-0.376114145,-0.343226818,"p3"
"HOOK1","hook microtubule tethering protein 1",1.292015049,1.370755894,1.572276614,0.078740845,0.280261565,0.20152072,"p3"
"HOXD1","homeobox D1",2.397170957,2.146684397,2.694087627,-0.25048656,0.29691667,0.54740323,"p3"
"HPN","hepsin",1.947977983,1.266620723,1.042267073,-0.681357259,-0.90571091,-0.224353651,"p3"
"HS6ST2","heparan sulfate 6-O-sulfotransferase 2",3.732333941,3.635063003,4.375341325,-0.097270938,0.643007383,0.740278322,"p3"
"ICAM1","intercellular adhesion molecule 1",1.240767557,0.588527898,0.33936709,-0.652239659,-0.901400467,-0.249160808,"p3"
"IL12B","interleukin 12B",1.71746223,1.676092695,1.610709784,-0.041369536,-0.106752447,-0.065382911,"p3"
"IL17REL","interleukin 17 receptor E like",1.221337109,1.163052348,1.390496221,-0.058284761,0.169159112,0.227443873,"p3"
"IL24","interleukin 24",1.223494748,1.237853963,0.869983394,0.014359215,-0.353511354,-0.367870569,"p3"
"IL2RA","interleukin 2 receptor subunit alpha",1.089595885,0.921972007,0.997112761,-0.167623879,-0.092483124,0.075140755,"p3"
"IL31RA","interleukin 31 receptor A",1.427001952,2.089183493,2.976954586,0.662181542,1.549952634,0.887771093,"p3"
"IL7","interleukin 7",1.057714843,0.651339589,0.730021213,-0.406375254,-0.327693629,0.078681624,"p3"
"ILDR1","immunoglobulin like domain containing receptor 1",1.195311893,1.109219106,1.308490129,-0.086092787,0.113178236,0.199271023,"p3"
"IRF4","interferon regulatory factor 4",1.171174955,0.797680428,1.139491171,-0.373494527,-0.031683784,0.341810743,"p3"
"ITGB6","integrin subunit beta 6",1.533807033,1.301258528,0.67867152,-0.232548505,-0.855135513,-0.622587007,"p3"
"IYD","iodotyrosine deiodinase",2.04552728,1.975674647,2.592807986,-0.069852633,0.547280706,0.617133339,"p3"
"KCND3","potassium voltage-gated channel subfamily D member 3",1.08564968,0.552397808,0.613251698,-0.533251871,-0.472397982,0.06085389,"p3"
"KCNJ11","potassium voltage-gated channel subfamily J member 11",1.049025878,0.644387667,0.660972106,-0.404638211,-0.388053771,0.016584439,"p3"
"KCNJ15","potassium voltage-gated channel subfamily J member 15",1.62293163,1.353304278,0.532457967,-0.269627352,-1.090473663,-0.820846311,"p3"
"KCNK1","potassium two pore domain channel subfamily K member 1",1.947575619,1.52852144,1.756182703,-0.419054179,-0.191392915,0.227661264,"p3"
"KCNK5","potassium two pore domain channel subfamily K member 5",1.62638145,1.738109005,2.275338937,0.111727555,0.648957487,0.537229932,"p3"
"KCNQ3","potassium voltage-gated channel subfamily Q member 3",2.061644862,1.935378603,2.682255974,-0.126266259,0.620611111,0.74687737,"p3"
"KCNS1","potassium voltage-gated channel modifier subfamily S member 1",1.047194232,0.065614322,-0.753465444,-0.98157991,-1.800659676,-0.819079766,"p3"
"KIAA1324","KIAA1324",2.573027953,2.506684379,2.034381425,-0.066343574,-0.538646528,-0.472302954,"p3"
"KIF12","kinesin family member 12",1.264483314,1.762110436,1.541321395,0.497627122,0.276838082,-0.22078904,"p3"
"KISS1","KiSS-1 metastasis suppressor",1.080642377,1.830631018,1.629768635,0.749988641,0.549126258,-0.200862383,"p3"
"KLHDC7A","kelch domain containing 7A",1.658544721,1.517015609,1.986743903,-0.141529112,0.328199183,0.469728294,"p3"
"KRT15","keratin 15",1.794957127,1.81472234,2.362667085,0.019765213,0.567709958,0.547944746,"p3"
"KSR2","kinase suppressor of ras 2",1.245373032,1.194801221,1.513490283,-0.050571811,0.268117251,0.318689062,"p3"
"LAD1","ladinin 1",1.922893467,1.873538016,2.28819194,-0.049355451,0.365298473,0.414653924,"p3"
"LAMP5","lysosomal associated membrane protein family member 5",1.199699983,1.552362087,1.563712401,0.352662104,0.364012418,0.011350313,"p3"
"LAPTM4B","lysosomal protein transmembrane 4 beta",1.305458566,1.02610374,1.865979462,-0.279354826,0.560520896,0.839875722,"p3"
"LCN12","lipocalin 12",1.40256165,1.370014751,1.339991772,-0.032546899,-0.062569878,-0.030022979,"p3"
"LGALS3BP","galectin 3 binding protein",1.059213322,0.759359349,1.008805206,-0.299853973,-0.050408117,0.249445857,"p3"
"LHFPL3","LHFPL tetraspan subfamily member 3",1.037164546,1.156631901,0.407174833,0.119467355,-0.629989713,-0.749457067,"p3"
"LMO3","LIM domain only 3",1.323968171,1.32181264,1.267676222,-0.002155531,-0.05629195,-0.054136419,"p3"
"LOR","loricrin",2.732251306,1.85978812,2.667252794,-0.872463185,-0.064998512,0.807464674,"p3"
"LPCAT1","lysophosphatidylcholine acyltransferase 1",1.467513726,1.037942387,1.155311983,-0.429571339,-0.312201743,0.117369596,"p3"
"LRG1","leucine rich alpha-2-glycoprotein 1",1.719632792,1.419648032,1.419497901,-0.29998476,-0.300134891,-0.000150131,"p3"
"LRIG3","leucine rich repeats and immunoglobulin like domains 3",1.423213196,1.527312417,1.927212379,0.104099221,0.503999183,0.399899962,"p3"
"LRRC31","leucine rich repeat containing 31",2.119346206,3.018139636,2.974954758,0.89879343,0.855608552,-0.043184878,"p3"
"LRRC8E","leucine rich repeat containing 8 VRAC subunit E",1.053115092,0.921665902,1.091787503,-0.131449191,0.03867241,0.170121601,"p3"
"LSR","lipolysis stimulated lipoprotein receptor",1.066129141,1.093747315,1.150186335,0.027618174,0.084057193,0.056439019,"p3"
"LTA","lymphotoxin alpha",1.19592233,0.678196308,0.963233138,-0.517726022,-0.232689192,0.28503683,"p3"
"LTB","lymphotoxin beta",1.554423289,1.230037374,1.359607584,-0.324385915,-0.194815705,0.12957021,"p3"
"LUZP2","leucine zipper protein 2",1.428251192,1.887357329,0.916444016,0.459106138,-0.511807176,-0.970913313,"p3"
"MALL","mal, T cell differentiation protein like",1.550787692,1.646821579,1.472594255,0.096033888,-0.078193437,-0.174227324,"p3"
"MALRD1","MAM and LDL receptor class A domain containing 1",2.337538686,1.666803999,0.956421695,-0.670734687,-1.381116991,-0.710382304,"p3"
"MANEAL","mannosidase endo-alpha like",1.435783392,1.32856075,1.834386171,-0.107222642,0.398602779,0.505825421,"p3"
"MAP3K9","mitogen-activated protein kinase kinase kinase 9",1.044915911,0.979973724,1.400235882,-0.064942188,0.35531997,0.420262158,"p3"
"MBIP","MAP3K12 binding inhibitory protein 1",1.164281758,0.85466358,0.5281384,-0.309618178,-0.636143358,-0.32652518,"p3"
"MDM2","MDM2 proto-oncogene",1.424384022,0.902959223,0.788278891,-0.521424799,-0.636105131,-0.114680332,"p3"
"MEGF9","multiple EGF like domains 9",1.130457107,0.518499306,0.049304147,-0.611957801,-1.08115296,-0.469195159,"p3"
"MESP1","mesoderm posterior bHLH transcription factor 1",2.15664348,2.221615867,2.469978955,0.064972387,0.313335475,0.248363088,"p3"
"MESP2","mesoderm posterior bHLH transcription factor 2",2.515780739,3.180567826,3.819347507,0.664787087,1.303566767,0.638779681,"p3"
"METTL7B","methyltransferase like 7B",2.954864344,2.95471727,3.215007848,-0.000147074,0.260143504,0.260290578,"p3"
"MGST1","microsomal glutathione S-transferase 1",1.441190358,1.117553624,1.343624593,-0.323636734,-0.097565765,0.226070969,"p3"
"MIOX","myo-inositol oxygenase",2.184830678,2.282142818,3.221933822,0.09731214,1.037103144,0.939791004,"p3"
"MIXL1","Mix paired-like homeobox",1.067826814,1.00172221,1.319609528,-0.066104604,0.251782714,0.317887318,"p3"
"MLPH","melanophilin",1.396843047,0.90192721,0.347557211,-0.494915836,-1.049285836,-0.554369999,"p3"
"MMP15","matrix metallopeptidase 15",1.087264233,1.209483528,1.499105115,0.122219295,0.411840883,0.289621588,"p3"
"MMP7","matrix metallopeptidase 7",2.835186926,2.860958013,3.654112144,0.025771088,0.818925218,0.79315413,"p3"
"MNX1","motor neuron and pancreas homeobox 1",1.627779535,2.106645773,3.060896903,0.478866238,1.433117368,0.95425113,"p3"
"MPZL2","myelin protein zero like 2",1.535719088,1.429290342,1.21449159,-0.106428746,-0.321227497,-0.214798752,"p3"
"MS4A1","membrane spanning 4-domains A1",2.515540214,2.527824252,2.258628096,0.012284038,-0.256912118,-0.269196156,"p3"
"MTFP1","mitochondrial fission process 1",1.126640953,0.858727659,1.061215814,-0.267913294,-0.065425139,0.202488155,"p3"
"MUC1","mucin 1, cell surface associated",1.685286907,1.537238702,1.627085241,-0.148048205,-0.058201666,0.089846539,"p3"
"MUM1L1",NA,1.115933252,0.992418716,1.710507694,-0.123514536,0.594574442,0.718088978,"p3"
"MYBPC2","myosin binding protein C, fast type",1.674883085,1.728193546,2.238765096,0.05331046,0.563882011,0.510571551,"p3"
"MYBPH","myosin binding protein H",3.331117266,3.558596571,3.624958702,0.227479304,0.293841436,0.066362132,"p3"
"MZB1","marginal zone B and B1 cell specific protein",1.031916305,0.635153303,1.169202883,-0.396763002,0.137286578,0.53404958,"p3"
"NAPSA","napsin A aspartic peptidase",1.657674531,1.253315604,0.870558223,-0.404358927,-0.787116308,-0.382757381,"p3"
"NHS","NHS actin remodeling regulator",1.442757725,1.306414029,2.152400339,-0.136343696,0.709642615,0.84598631,"p3"
"NPC2","NPC intracellular cholesterol transporter 2",1.154034204,0.980953867,1.046348625,-0.173080336,-0.107685579,0.065394758,"p3"
"NR0B2","nuclear receptor subfamily 0 group B member 2",1.743855725,1.183328855,0.820741082,-0.560526871,-0.923114644,-0.362587773,"p3"
"NT5E","5'-nucleotidase ecto",1.146727322,1.345699858,1.740027454,0.198972535,0.593300131,0.394327596,"p3"
"NUP210L","nucleoporin 210 like",1.709736309,2.083265809,3.017458421,0.3735295,1.307722112,0.934192612,"p3"
"OIT3","oncoprotein induced transcript 3",1.404133342,0.412115759,0.165513168,-0.992017583,-1.238620174,-0.246602591,"p3"
"OPRK1","opioid receptor kappa 1",1.719279407,1.529517193,1.99190248,-0.189762214,0.272623073,0.462385287,"p3"
"ORM1","orosomucoid 1",1.933127192,1.775455507,1.463026004,-0.157671685,-0.470101188,-0.312429504,"p3"
"OVGP1","oviductal glycoprotein 1",1.048043169,0.786554646,0.650432531,-0.261488523,-0.397610638,-0.136122115,"p3"
"OVOL1","ovo like transcriptional repressor 1",1.041461202,1.840640616,2.496441126,0.799179414,1.454979924,0.65580051,"p3"
"PABPC1L","poly(A) binding protein cytoplasmic 1 like",1.246690547,1.287048353,1.636286102,0.040357806,0.389595555,0.349237749,"p3"
"PAK6","p21 (RAC1) activated kinase 6",1.214817124,1.094989805,1.400188818,-0.119827319,0.185371695,0.305199013,"p3"
"PANX2","pannexin 2",1.310611427,1.217579852,1.603060089,-0.093031575,0.292448662,0.385480237,"p3"
"PARM1","prostate androgen-regulated mucin-like protein 1",1.393445323,0.999569507,0.799033717,-0.393875816,-0.594411607,-0.20053579,"p3"
"PCDHAC1","protocadherin alpha subfamily C, 1",1.113752072,0.766200243,0.707913543,-0.347551829,-0.405838529,-0.0582867,"p3"
"PCDHAC2","protocadherin alpha subfamily C, 2",1.212033933,0.641907478,0.020833792,-0.570126455,-1.191200141,-0.621073686,"p3"
"PCLO","piccolo presynaptic cytomatrix protein",1.333649624,0.800180582,0.74845916,-0.533469042,-0.585190465,-0.051721423,"p3"
"PCSK1N","proprotein convertase subtilisin/kexin type 1 inhibitor",2.203018592,2.626010819,2.759389833,0.422992227,0.556371241,0.133379014,"p3"
"PFKFB2","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2",1.205066946,0.631487183,0.043403603,-0.573579763,-1.161663343,-0.58808358,"p3"
"PHLDA2","pleckstrin homology like domain family A member 2",1.971465995,2.137601837,2.486724397,0.166135841,0.515258401,0.34912256,"p3"
"PIGA","phosphatidylinositol glycan anchor biosynthesis class A",1.159839244,0.682177976,0.409752329,-0.477661268,-0.750086916,-0.272425647,"p3"
"PIGR","polymeric immunoglobulin receptor",1.630241203,1.998308957,2.083375048,0.368067754,0.453133845,0.085066091,"p3"
"PKHD1","PKHD1 ciliary IPT domain containing fibrocystin/polyductin",2.920787065,3.420853342,3.145051006,0.500066276,0.224263941,-0.275802336,"p3"
"PKIB","cAMP-dependent protein kinase inhibitor beta",1.562682502,1.284996374,1.749502457,-0.277686128,0.186819955,0.464506084,"p3"
"PLA2G10","phospholipase A2 group X",1.413027311,1.346144354,1.13849782,-0.066882957,-0.274529491,-0.207646534,"p3"
"PLA2G4D","phospholipase A2 group IVD",2.07373418,2.19280131,2.98739945,0.119067129,0.91366527,0.794598141,"p3"
"PLAC1","placenta enriched 1",3.129018084,2.870196464,3.761995944,-0.25882162,0.632977861,0.891799481,"p3"
"PLD5","phospholipase D family member 5",1.941013319,1.866572333,2.606935369,-0.074440986,0.665922051,0.740363036,"p3"
"PLEKHN1","pleckstrin homology domain containing N1",1.107584605,1.747202141,2.713908445,0.639617536,1.60632384,0.966706305,"p3"
"PMAIP1","phorbol-12-myristate-13-acetate-induced protein 1",1.329226935,0.670795262,1.465473375,-0.658431673,0.136246441,0.794678114,"p3"
"PMCH","pro-melanin concentrating hormone",2.339275338,2.245664758,2.348916162,-0.093610581,0.009640824,0.103251405,"p3"
"PNOC","prepronociceptin",1.265040077,1.042575148,1.36151122,-0.222464928,0.096471143,0.318936072,"p3"
"PODXL2","podocalyxin like 2",1.723125536,1.962366862,2.855990093,0.239241326,1.132864556,0.893623231,"p3"
"PON1","paraoxonase 1",1.18317091,1.525153069,1.500824008,0.341982159,0.317653097,-0.024329061,"p3"
"PON3","paraoxonase 3",1.907352018,1.960168346,1.718301003,0.052816328,-0.189051014,-0.241867343,"p3"
"POU2AF1","POU class 2 homeobox associating factor 1",1.623071912,1.282751236,1.634916314,-0.340320676,0.011844402,0.352165078,"p3"
"POU2F3","POU class 2 homeobox 3",1.468048778,1.21740235,1.7690968,-0.250646428,0.301048022,0.55169445,"p3"
"PPP1R1C","protein phosphatase 1 regulatory inhibitor subunit 1C",2.667353895,1.896850477,1.192363765,-0.770503418,-1.47499013,-0.704486712,"p3"
"PRODH","proline dehydrogenase 1",1.845668692,1.312240276,0.997009128,-0.533428416,-0.848659564,-0.315231148,"p3"
"PROM2","prominin 2",1.342283008,1.812529475,2.286894518,0.470246468,0.94461151,0.474365042,"p3"
"PRR5-ARHGAP8","PRR5-ARHGAP8 readthrough",1.733937706,1.768509423,2.005578437,0.034571717,0.271640732,0.237069015,"p3"
"PRSS22","serine protease 22",1.472798715,1.390958236,1.601356161,-0.081840478,0.128557446,0.210397925,"p3"
"PTP4A1","protein tyrosine phosphatase 4A1",1.711125806,1.133666211,0.820573812,-0.577459595,-0.890551995,-0.3130924,"p3"
"RAB19","RAB19, member RAS oncogene family",1.242364487,0.980231424,1.761631844,-0.262133063,0.519267356,0.781400419,"p3"
"RAB27B","RAB27B, member RAS oncogene family",1.444695531,1.564575713,0.983370424,0.119880183,-0.461325107,-0.58120529,"p3"
"RANBP17","RAN binding protein 17",1.240293048,1.094439297,0.762401133,-0.145853751,-0.477891915,-0.332038164,"p3"
"RAP1GAP","RAP1 GTPase activating protein",1.905578362,1.904729058,1.603856645,-0.000849305,-0.301721717,-0.300872412,"p3"
"RASEF","RAS and EF-hand domain containing",1.308405094,0.960212572,1.17670344,-0.348192522,-0.131701654,0.216490868,"p3"
"RASGEF1A","RasGEF domain family member 1A",1.117782041,0.620629215,1.147681148,-0.497152826,0.029899107,0.527051933,"p3"
"RBBP8NL","RBBP8 N-terminal like",1.262849789,1.271182476,1.865998077,0.008332687,0.603148288,0.594815601,"p3"
"REEP6","receptor accessory protein 6",1.064217143,1.217776766,1.649659154,0.153559622,0.585442011,0.431882388,"p3"
"RET","ret proto-oncogene",1.020830734,1.209696537,0.91805078,0.188865803,-0.102779954,-0.291645757,"p3"
"RGS7","regulator of G protein signaling 7",1.602107207,1.097113011,2.060427906,-0.504994196,0.458320699,0.963314895,"p3"
"RNASE1","ribonuclease A family member 1, pancreatic",1.605960533,1.07190567,0.478470409,-0.534054863,-1.127490124,-0.593435261,"p3"
"ROS1","ROS proto-oncogene 1, receptor tyrosine kinase",1.471806035,1.516005253,1.044993779,0.044199219,-0.426812255,-0.471011474,"p3"
"RPEL1","ribulose-5-phosphate-3-epimerase like 1",1.096368394,1.259257237,1.933194435,0.162888842,0.836826041,0.673937198,"p3"
"S100B","S100 calcium binding protein B",2.801149308,2.257847143,2.236548911,-0.543302165,-0.564600398,-0.021298232,"p3"
"SALL4","spalt like transcription factor 4",3.220186573,2.989826937,3.393429679,-0.230359637,0.173243106,0.403602743,"p3"
"SAMD10","sterile alpha motif domain containing 10",1.004461144,0.918412526,1.445520777,-0.086048618,0.441059634,0.527108252,"p3"
"SBK1","SH3 domain binding kinase 1",1.015672786,1.377576559,2.337940019,0.361903773,1.322267232,0.960363459,"p3"
"SCGB3A1","secretoglobin family 3A member 1",4.302159112,4.168515605,3.62154864,-0.133643508,-0.680610472,-0.546966965,"p3"
"SCNN1D","sodium channel epithelial 1 delta subunit",1.179389169,0.469681049,0.907344158,-0.709708121,-0.272045011,0.437663109,"p3"
"SCTR","secretin receptor",2.409105888,1.995600907,1.60414256,-0.413504981,-0.804963328,-0.391458347,"p3"
"SCUBE2","signal peptide, CUB domain and EGF like domain containing 2",1.810983787,1.53728915,1.613762281,-0.273694637,-0.197221505,0.076473132,"p3"
"SDC4","syndecan 4",1.15463878,0.881231498,0.772197898,-0.273407282,-0.382440882,-0.1090336,"p3"
"SEC11C","SEC11 homolog C, signal peptidase complex subunit",1.040334197,0.738204874,1.066572481,-0.302129323,0.026238283,0.328367606,"p3"
"SEL1L3","SEL1L family member 3",1.076192494,1.031907192,1.106386551,-0.044285302,0.030194057,0.074479359,"p3"
"SEMA4B","semaphorin 4B",1.355523287,1.009670802,1.217972197,-0.345852485,-0.13755109,0.208301395,"p3"
"SERINC2","serine incorporator 2",1.289240031,1.565757179,2.373610088,0.276517148,1.084370057,0.807852909,"p3"
